ID;L - HOMO;L - LUMO;L - Q(L);L2Ni - A(L,Ni,L);L2Ni - BO(Ni,L);L2Ni - Bur_V;L2Ni - HOMO;L2Ni - LUMO;L2Ni - Q(Ni);L2Ni - R(Ni,L);L2Ni - Sterimol_B1(Ni,P);L2Ni - Sterimol_B5(Ni,P);L2Ni - Sterimol_L(Ni,P);L2Ni - dQ(L);L2NiX - A(L,Ni,C);L2NiX - A(L,Ni,L);L2NiX - BO(Ni,L);L2NiX - Bur_V;L2NiX - HOMO;L2NiX - LUMO;L2NiX - R(Ni,C);L2NiX - R(Ni,L);L2NiX - SD(L);L2NiX - Sterimol_B1(Ni,C);L2NiX - Sterimol_B1(Ni,P);L2NiX - Sterimol_B5(Ni,C);L2NiX - Sterimol_B5(Ni,P);L2NiX - Sterimol_L(Ni,C);L2NiX - Sterimol_L(Ni,P);L2NiX - dBO(Ni,C);L2NiX - dQ(C);L2NiX - dQ(L);L2NiX - dQ(Ni);L2NiX - dSD(C);L2NiX - dSD(Ni);L2NiX TO L2Ni + X;L2NiX TO L2NiX2 + L2Ni;L2NiX2 - A(C,Ni,C);L2NiX2 - A(L,Ni,L);L2NiX2 - BO(Ni,L);L2NiX2 - Bur_V;L2NiX2 - HOMO;L2NiX2 - LUMO;L2NiX2 - R(Ni,C);L2NiX2 - R(Ni,L);L2NiX2 - Sterimol_B1(Ni,P);L2NiX2 - Sterimol_B5(Ni,P);L2NiX2 - Sterimol_L(Ni,P);L2NiX2 - dBO(Ni,C);L2NiX2 - dQ(L);L2NiX2 - dQ(Ni);L2NiX2 TO L2Ni + X2;Substituent;Backbone
1;-0.20128;0.01769;0.73908;101.2266768;0.7694;45.53295319;-0.10648;-0.01716;-0.20674;2.10745131;2.682011629;5.41814536;5.829582002;0.147225;136.5144177;86.94779613;0.6616;63.27842774;-0.14465;-0.03322;1.972518393;2.292217224;0.07267;1.700000048;2.871181195;3.256457592;5.653746627;7.417863357;5.913881947;0.0908;0.05267;0.250685;-0.63299;0.03263;-0.20293;50.12294675;0.625626946;89.63029294;87.56585046;0.7743;83.45841611;-0.14825;-0.02883;1.907547505;2.195608367;2.915290686;5.459803876;5.69304553;0.061;0.45922;-0.94977;4.410136584;Me;dppe
2;-0.19569;0.00956;0.74167;101.4722205;0.76385;56.82917248;-0.10619;-0.02267;-0.19498;2.107842628;3.447504576;6.555349296;6.642370232;0.151905;136.278443;87.42272058;0.7066;76.40098481;-0.14528;-0.03395;1.97924954;2.282069229;0.07883;1.700000048;3.606445185;3.263268722;6.746728103;7.42445619;6.74805527;0.0851;0.05051;0.26689;-0.64323;0.01727;-0.21803;49.92339874;4.312872614;84.73037689;87.76642384;0.7472;92.99191321;-0.148;-0.03394;1.906439924;2.233532444;3.626928309;6.309563601;6.106117312;0.0275;0.440485;-0.91922;0.323794889;i-Pr;dppe
3;-0.20484;-0.05659;0.78267;100.1165135;0.79355;53.75627566;-0.11795;-0.0542;-0.09484;2.100173982;3.718875285;7.888718342;7.452421612;0.113535;136.4159767;87.06422258;0.68075;73.02838484;-0.14804;-0.06285;1.970508184;2.281488996;0.0718;1.700000048;3.92155336;3.244228276;7.986462579;7.413411217;7.520143953;0.0798;0.05716;0.224575;-0.60182;0.03871;-0.23059;46.67289966;-0.067143515;86.92546758;87.20503537;0.73735;89.35642918;-0.15373;-0.06466;1.904583007;2.217178125;4.202253585;7.880229637;7.420312164;0.0391;0.407205;-0.9027;-1.797187134;Ph;dppe
4;-0.19388;0.0112;0.754405;104.1169525;0.7946;62.82768981;-0.10376;-0.02026;-0.186;2.11713143;3.752107678;6.560043202;6.698709957;0.146745;135.0147047;89.96218654;0.6862;81.99859872;-0.14143;-0.02736;1.979282777;2.291645011;0.075815;1.700000048;3.93549199;3.242972477;6.760279912;7.424159639;6.736815936;0.0649;0.05804;0.25812;-0.61986;0.01846;-0.2312;51.05291579;8.41239201;83.23842244;88.97322935;0.707;96.53823798;-0.14198;-0.03028;1.900422936;2.277310378;3.886693478;6.817617044;6.917495506;0.0039;0.410075;-0.86424;-1.516690399;t-Bu;dppe
5;-0.19817;0.01275;0.7359;101.6813009;0.7663;49.22460546;-0.10537;-0.02016;-0.20396;2.108725623;2.956666342;6.556888652;6.649029149;0.15016;136.3431531;87.20357698;0.66555;69.85686299;-0.14413;-0.03645;1.972081016;2.288698851;0.07527;1.700000048;3.067810655;3.246603862;6.301214836;7.417195983;6.229332955;0.0883;0.05435;0.260195;-0.64755;0.03221;-0.20829;51.42753895;1.244351286;88.74750924;87.85433239;0.7729;89.94602168;-0.14832;-0.03234;1.908541785;2.196318148;2.932503927;6.218013214;6.071035538;0.0517;0.474215;-0.96292;6.400596635;Et;dppe
6;-0.19204;0.0105;0.759715;101.4905805;0.8166;56.42144814;-0.10377;-0.02072;-0.20443;2.109966726;4.25255733;7.842102934;7.730940239;0.16424;136.3919061;87.19425005;0.7054;76.97971951;-0.13433;-0.02684;1.970955519;2.266499959;0.08037;1.700000048;4.244098543;3.260898997;8.03302427;7.402486026;7.737377236;0.0694;0.0717;0.29239;-0.66201;0.02538;-0.24965;54.23438882;9.648585673;86.78919676;86.71328729;0.73935;90.29973542;-0.14477;-0.02815;1.907791369;2.233010319;4.468202316;8.099674758;7.64047869;0.034;0.45532;-0.90416;3.610062004;Cy;dppe
7;-0.26652;-0.04462;0.62129;97.66182339;0.76555;50.5729912;-0.15561;-0.0659;0.05443;2.063799573;3.387779975;6.070227579;6.382843431;0.023015;137.0106526;85.97683532;0.67935;69.34278789;-0.17869;-0.08202;1.951607694;2.243582846;0.056435;1.700000048;3.53651709;3.404432208;6.228868585;7.376560472;6.428658997;0.0724;0.06443;0.132905;-0.52794;0.09731;-0.2344;31.61643734;-10.67644619;83.62314954;86.51634961;0.7508;88.41235732;-0.1844;-0.08215;1.900687018;2.176833879;3.569175519;6.140127744;6.338420913;0.0366;0.302225;-0.8882;-21.3008091;CF3;dppe
8;-0.21021;-0.00291;1.292345;98.56069216;0.83185;47.3393154;-0.1303;-0.04022;-0.20485;2.070890935;2.826775335;6.185096367;6.390816601;0.118305;136.8669767;85.69108445;0.7302;66.37046492;-0.15594;-0.05305;1.965751463;2.244661399;0.06938;1.700000048;3.101675016;3.313473949;6.383897504;7.403498343;6.497770913;0.089;0.05887;0.276555;-0.73543;0.05161;-0.2336;42.55581;-2.142944854;86.32678468;85.71169501;0.79515;85.61041831;-0.16341;-0.05087;1.907489702;2.179854615;3.23776306;5.834146381;5.781870551;0.05345;0.47139;-1.07382;-7.955565112;OMe;dppe
9;-0.21123;-0.04619;1.34345;97.65324682;0.82855;53.89457342;-0.14125;-0.05864;-0.12654;2.062209007;2.68070764;9.310977764;9.200227866;0.06868;136.4916452;84.7518146;0.73985;76.68781171;-0.16395;-0.06405;1.959656049;2.230045371;0.068845;1.700000048;3.462891274;3.401639728;9.481638627;7.386692283;9.600575557;0.0848;0.06945;0.23179;-0.70951;0.06461;-0.24641;38.57677243;-4.89206386;86.60990004;87.31196184;0.8107;93.6078846;-0.1735;-0.07606;1.911108582;2.156330917;2.608823343;9.396375575;9.426625561;0.04925;0.46151;-1.11925;-13.16452126;OPh;dppe
10;-0.19538;0.00511;1.285415;99.69736734;0.83495;65.02214879;-0.12041;-0.03215;-0.26093;2.074172239;3.920255889;6.504423758;6.438406258;0.14666;136.6764939;86.54535213;0.73015;76.81880133;-0.15226;-0.0438;1.972060033;2.245390913;0.069845;1.700000048;4.157604513;3.294732974;7.527955101;7.409603417;7.27554848;0.0747;0.05518;0.30402;-0.73497;0.03258;-0.25145;48.3778429;5.112319685;86.9499078;86.23750985;0.78485;90.15405993;-0.15973;-0.04651;1.913983266;2.182357806;3.883428292;7.417127296;7.214419329;0.0528;0.511815;-1.07229;-3.566763851;OiPr;dppe
