ID;Ligand;R_NBO_min;R_NBO_max;R_NBO_avg;RBack_NBO_min;RBack_NBO_max;RBack_NBO_avg;P_NMR_min;P_NMR_max;P_NMR_avg;aniso_P_NMR_min;aniso_P_NMR_max;aniso_P_NMR_avg;P_NBO_min;P_NBO_max;P_NBO_avg;Cl_NBO_min;Cl_NBO_max;Cl_NBO_avg;P_Pd_bond_occ_min;P_Pd_bond_occ_max;P_Pd_bond_occ_avg;P_Pd_bond_eng_min;P_Pd_bond_eng_max;P_Pd_bond_eng_avg;P_Pd_antibond_occ_min;P_Pd_antibond_occ_max;P_Pd_antibond_occ_avg;P_Pd_antibond_eng_min;P_Pd_antibond_eng_max;P_Pd_antibond_eng_avg;P_R_bond_occ_min;P_R_bond_occ_max;P_R_bond_occ_avg;P_R_bond_eng_min;P_R_bond_eng_max;P_R_bond_eng_avg;P_R_antibond_occ_min;P_R_antibond_occ_max;P_R_antibond_occ_avg;P_R_antibond_eng_min;P_R_antibond_eng_max;P_R_antibond_eng_avg;P_RBack_bond_occ_min;P_RBack_bond_occ_max;P_RBack_bond_occ_avg;P_RBack_bond_eng_min;P_RBack_bond_eng_max;P_RBack_bond_eng_avg;P_RBack_antibond_occ_min;P_RBack_antibond_occ_max;P_RBack_antibond_occ_avg;P_RBack_antibond_eng_min;P_RBack_antibond_eng_max;P_RBack_antibond_eng_avg;P_R_distance_min;P_R_distance_max;P_R_distance_avg;P1_RBack1/P2_RBack2_distance_min;P1_RBack1/P2_RBack2_distance_max;P1_RBack1/P2_RBack2_distance_avg;Cl-Pd_distance_min;Cl-Pd_distance_max;Cl-Pd_distance_avg;P-Pd_distance_min;P-Pd_distance_max;P-Pd_distance_avg;X_Angle_Sum_min;X_Angle_Sum_max;X_Angle_Sum_avg;angle_Pd_P1_RBack1/Pd_P2_RBack2_min;angle_Pd_P1_RBack1/Pd_P2_RBack2_max;angle_Pd_P1_RBack1/Pd_P2_RBack2_avg;angle_RPPd_min;angle_RPPd_max;angle_RPPd_avg;angle_R1_P1_R2/R3_P2_R4_min;angle_R1_P1_R2/R3_P2_R4_max;angle_R1_P1_R2/R3_P2_R4_avg;angle_RPRBack_min;angle_RPRBack_max;angle_RPRBack_avg;NoPd_R_NBO_min;NoPd_R_NBO_max;NoPd_R_NBO_avg;NoPd_Rback_NBO_min;NoPd_Rback_NBO_max;NoPd_Rback_NBO_avg;NoPd_P_NMR_min;NoPd_P_NMR_max;NoPd_P_NMR_avg;NoPd_aniso_P_NMR_min;NoPd_aniso_P_NMR_max;NoPd_aniso_P_NMR_avg;NoPd_P_NBO_min;NoPd_P_NBO_max;NoPd_P_NBO_avg;NoPd_P_LP_occ_min;NoPd_P_LP_occ_max;NoPd_P_LP_occ_avg;NoPd_P_LP_eng_min;NoPd_P_LP_eng_max;NoPd_P_LP_eng_avg;NoPd_P_R_bond_occ_min;NoPd_P_R_bond_occ_max;NoPd_P_R_bond_occ_avg;NoPd_P_R_bond_eng_min;NoPd_P_R_bond_eng_max;NoPd_P_R_bond_eng_avg;NoPd_P_R_antibond_occ_min;NoPd_P_R_antibond_occ_max;NoPd_P_R_antibond_occ_avg;NoPd_P_R_antibond_eng_min;NoPd_P_R_antibond_eng_max;NoPd_P_R_antibond_eng_avg;NoPd_P_RBack_bond_occ_min;NoPd_P_RBack_bond_occ_max;NoPd_P_RBack_bond_occ_avg;NoPd_P_RBack_bond_eng_min;NoPd_P_RBack_bond_eng_max;NoPd_P_RBack_bond_eng_avg;NoPd_P_RBack_antibond_occ_min;NoPd_P_RBack_antibond_occ_max;NoPd_P_RBack_antibond_occ_avg;NoPd_P_RBack_antibond_eng_min;NoPd_P_RBack_antibond_eng_max;NoPd_P_RBack_antibond_eng_avg;NoPd_LP_P_s_min;NoPd_LP_P_s_max;NoPd_LP_P_s_avg;quadrants_3.0_Ang_min;quadrants_3.0_Ang_max;quadrants_3.0_Ang_avg;quadrants_4.0_Ang_min;quadrants_4.0_Ang_max;quadrants_4.0_Ang_avg;quadrants_5.0_Ang_min;quadrants_5.0_Ang_max;quadrants_5.0_Ang_avg;quadrants_6.0_Ang_min;quadrants_6.0_Ang_max;quadrants_6.0_Ang_avg;quadrants_7.0_Ang_min;quadrants_7.0_Ang_max;quadrants_7.0_Ang_avg;octants_3.0_Ang_min;octants_3.0_Ang_max;octants_3.0_Ang_avg;octants_4.0_Ang_min;octants_4.0_Ang_max;octants_4.0_Ang_avg;octants_5.0_Ang_min;octants_5.0_Ang_max;octants_5.0_Ang_avg;octants_6.0_Ang_min;octants_6.0_Ang_max;octants_6.0_Ang_avg;octants_7.0_Ang_min;octants_7.0_Ang_max;octants_7.0_Ang_avg;Homo;Lumo;dipole;Pd_NBO;Pd_LP_1_occ;Pd_LP_1_eng;Pd_LP_2_occ;Pd_LP_2_eng;Pd_LP_3_occ;Pd_LP_3_eng;Pd_LP_4_occ;Pd_LP_4_eng;bite_angle;NoPd_Homo;NoPd_Lumo;NoPd_dipole;pol;Vbur%_3.0_Ang;Vbur%_4.0_Ang;Vbur%_5.0_Ang;Vbur%_6.0_Ang;Vbur%_7.0_Ang
8;RR_DIOP;-0.37383;-0.34674;-0.362805;-0.75008;-0.72556;-0.73782;244.4647;265.2184;254.84155;99.7099;122.3919;111.0509;1.17825;1.18043;1.17934;-0.40439;-0.40131;-0.40285;1.78586;1.79777;1.791815;-0.44868;-0.43843;-0.443555;0.17189;0.17337;0.17263;0.59519;0.63044;0.612815;1.95619;1.95945;1.957815;-0.62389;-0.61216;-0.617025;0.06282;0.07338;0.0688875;0.19446;0.20432;0.200105;1.95718;1.96106;1.95912;-0.59591;-0.5926;-0.594255;0.063;0.08195;0.072475;0.16376;0.16825;0.166005;1.835142797;1.837899438;1.836265282;1.863276617;1.868316308;1.865796462;2.36410588;2.385321393;2.374713636;2.29842618;2.312157271;2.305291726;309.5956487;311.4698278;310.5327382;113.9737677;117.6478307;115.8107992;109.4995786;120.6737317;114.525185;104.0687185;105.3192155;104.693967;100.2739328;107.1271765;102.9193856;-0.34125;-0.31732;-0.33011;-0.72203;-0.707;-0.714515;312.1456;314.8549;313.50025;51.6072;80.8406;66.2239;0.81558;0.82453;0.820055;1.88801;1.89065;1.88933;-0.34791;-0.34617;-0.34704;1.95241;1.96021;1.956865;-0.57406;-0.55987;-0.56529;0.0333;0.04822;0.0404175;0.22552;0.23615;0.231695;1.95608;1.96055;1.958315;-0.54057;-0.5378;-0.539185;0.02923;0.03453;0.03188;0.19885;0.20047;0.19966;45.36;45.8;45.58;49.70202622;61.72526818;54.37183403;51.80001241;61.06697288;54.59546273;49.16826969;57.13790167;51.85207814;39.93922627;52.81554719;45.41226359;30.3160028;44.61212663;36.5384287;10.80899881;29.86442193;17.37000894;10.80938489;28.29122959;17.66572528;8.210084829;22.4669673;15.44732112;7.050659894;17.78856184;13.27112341;6.094055094;14.3695599;10.85032135;-0.23309;-0.07445;10.4377;-0.20552;1.98674;-0.28875;1.9686;-0.2983;1.96521;-0.29558;1.9555;-0.32086;97.36243468;-0.19741;-0.03598;1.4598;453.32;54.37183403;54.59546273;51.85207814;45.41226359;36.5384287
10;SS_Et_Duphos;-0.51299;-0.478;-0.4901625;-0.34514;-0.34379;-0.344465;183.0535;189.8291;186.4413;141.7481;164.3016;153.02485;1.16397;1.1745;1.169235;-0.46037;-0.4563;-0.458335;1.75982;1.7614;1.76061;-0.44248;-0.43934;-0.44091;0.18037;0.1809;0.180635;0.64295;0.67028;0.656615;1.95059;1.95289;1.951755;-0.57267;-0.56653;-0.5699;0.07927;0.08418;0.08151;0.15101;0.16093;0.15505;1.95709;1.9573;1.957195;-0.61764;-0.61068;-0.61416;0.08094;0.08322;0.08208;0.18367;0.19284;0.188255;1.869674192;1.893583483;1.884106371;1.844535553;1.856461098;1.850498326;2.392668892;2.401508604;2.397088748;2.253156033;2.257688662;2.255422347;308.7528249;311.7597973;310.2563111;107.5065173;107.6514355;107.5789764;116.2109496;123.161452;118.9941894;94.46845088;94.75095038;94.60970063;105.2357975;110.1449447;107.8233052;-0.47663;-0.46551;-0.4729575;-0.31567;-0.31541;-0.31554;303.8823;313.7372;308.80975;63.2804;69.2206;66.2505;0.75282;0.75865;0.755735;1.9209;1.92105;1.920975;-0.33655;-0.33212;-0.334335;1.95164;1.9571;1.95399;-0.51361;-0.50042;-0.505175;0.04559;0.05119;0.04803;0.19931;0.20713;0.2033425;1.96028;1.96075;1.960515;-0.55641;-0.54924;-0.552825;0.04265;0.04465;0.04365;0.22376;0.23216;0.22796;46.38;47.03;46.705;51.60160906;62.36963647;57.54059893;53.23536714;64.23251195;59.59243684;50.2861783;60.87004509;56.42501813;44.29407229;48.484285;47.14159372;32.25522734;33.55686741;33.13026932;12.50744934;27.15286055;20.42796484;11.96387561;30.5319347;22.29920551;8.008262117;27.13096402;18.24445776;4.880946982;18.27384462;11.87264729;3.070652329;11.51067669;7.474823953;-0.23727;-0.06524;12.1328;-0.19376;1.98653;-0.29212;1.97206;-0.29777;1.95653;-0.32044;1.94542;-0.29471;88.75831064;-0.17599;-0.03111;1.7517;342.79;57.54059893;59.59243684;56.42501813;47.14159372;33.13026932
12;W001;-0.37225;-0.32925;-0.347915;-0.49678;-0.33308;-0.41493;211.7585;241.2173;226.4879;110.3124;201.3006;155.8065;1.17891;1.19767;1.18829;-0.41005;-0.38743;-0.39874;1.86517;1.8738;1.869485;-0.46053;-0.43954;-0.450035;0.34803;0.35149;0.34976;0.44853;0.49755;0.47304;1.94895;1.95357;1.9507125;-0.62859;-0.61266;-0.62161;0.06353;0.08737;0.0754475;0.17415;0.19853;0.183895;1.93559;1.95095;1.94327;-0.61674;-0.57567;-0.596205;0.07239;0.07826;0.075325;0.13479;0.19711;0.16595;1.835583864;1.857587507;1.846978573;1.849197418;1.903103247;1.876150333;2.360075971;2.405142302;2.382609136;2.305328691;2.316666319;2.310997505;310.7685161;312.5823453;311.6754307;106.492801;111.4056853;108.9492432;110.4556499;122.9357209;117.6417118;94.93995586;100.9484315;97.94419366;101.8489425;110.8984262;106.8656185;-0.33929;-0.28866;-0.3122025;-0.48143;-0.29423;-0.38783;292.8097;299.7692;296.28945;28.1574;115.1535;71.65545;0.83558;0.83741;0.836495;1.8761;1.90497;1.890535;-0.37093;-0.34319;-0.35706;1.94618;1.95159;1.9487775;-0.58108;-0.55846;-0.5720925;0.03479;0.04927;0.0407275;0.19393;0.23178;0.21357;1.93994;1.95255;1.946245;-0.56903;-0.53278;-0.550905;0.04172;0.04539;0.043555;0.16036;0.22324;0.1918;43.79;47.47;45.63;60.48495232;65.6920441;62.13591329;61.02662777;67.93960648;63.71500838;57.45797988;66.25540033;61.63515815;52.54387954;57.66973559;56.09177287;43.55356563;51.57375201;47.58543347;23.21215733;33.08253874;27.99277414;23.0401589;36.24852585;30.65917696;18.10097443;34.0087036;28.4991801;12.65454216;35.29683886;23.65617488;8.517445336;33.06957071;19.05125154;-0.23489;-0.0949;9.2902;-0.17855;1.98663;-0.29858;1.97163;-0.30828;1.96529;-0.30497;1.95498;-0.32927;98.39380576;-0.2117;-0.0706;4.0668;624.49;62.13591329;63.71500838;61.63515815;56.09177287;47.58543347
14;M003-1;-0.35594;-0.33016;-0.3430775;-0.38822;-0.38294;-0.38558;226.1883;235.227;230.70765;107.8236;150.8636;129.3436;1.20435;1.22392;1.214135;-0.38581;-0.36611;-0.37596;1.87207;1.8804;1.876235;-0.46818;-0.46291;-0.465545;0.3552;0.3684;0.3618;0.40105;0.45927;0.43016;1.95154;1.95347;1.9528375;-0.64553;-0.63497;-0.641485;0.06731;0.07413;0.0701425;0.16223;0.1706;0.1670925;1.94535;1.95421;1.94978;-0.66043;-0.65048;-0.655455;0.07632;0.08385;0.080085;0.18605;0.19289;0.18947;1.837960352;1.847842704;1.842874918;1.817437691;1.833858642;1.825648166;2.363280816;2.383139864;2.37321034;2.305547039;2.319739192;2.312643115;310.750291;315.0285699;312.8894304;114.8522599;123.7754028;119.3138313;107.5052197;118.7330469;111.716217;103.3884498;105.3491379;104.3687939;99.23007073;110.0132201;104.2603183;-0.32679;-0.31583;-0.32123;-0.34956;-0.33674;-0.34315;302.039;313.7735;307.90625;33.3123;56.2614;44.78685;0.86723;0.89113;0.87918;1.86036;1.88802;1.87419;-0.37922;-0.363;-0.37111;1.95155;1.95331;1.9526975;-0.60607;-0.59228;-0.5988275;0.03792;0.04825;0.0418075;0.18859;0.19874;0.191825;1.94376;1.95224;1.948;-0.61452;-0.60675;-0.610635;0.04021;0.04098;0.040595;0.19667;0.20841;0.20254;42.24;44.4;43.32;49.80259237;64.284118;57.82646752;50.52293464;64.4621687;58.31652287;49.08864432;64.49418183;58.16258554;47.71055377;65.60796408;57.21279877;46.16823122;63.48832708;54.09157022;12.17222884;32.33760429;22.24001788;13.8073366;31.60573521;22.79265719;13.55207972;33.73277412;23.24548264;14.39702481;35.69957821;23.85709102;14.80789922;33.63087275;22.86722304;-0.25335;-0.10973;12.0414;-0.19307;1.9867;-0.31644;1.96963;-0.33015;1.96589;-0.32772;1.95524;-0.34517;102.3954281;-0.23134;-0.08159;4.0201;795.29;57.82646752;58.31652287;58.16258554;57.21279877;54.09157022
16;W005-1;-0.37474;-0.3285;-0.3502525;-0.49465;-0.3281;-0.411375;214.5602;239.3335;226.94685;108.4181;197.2384;152.82825;1.18039;1.22012;1.200255;-0.41781;-0.38259;-0.4002;1.85918;1.8702;1.86469;-0.45704;-0.42527;-0.441155;0.346;0.35444;0.35022;0.4651;0.52364;0.49437;1.94848;1.95284;1.9504425;-0.62789;-0.61037;-0.6184575;0.06331;0.08955;0.07578;0.17396;0.20922;0.19127;1.93581;1.95022;1.943015;-0.61113;-0.57325;-0.59219;0.07446;0.07776;0.07611;0.13706;0.20361;0.170335;1.831504038;1.863040361;1.84351028;1.850393781;1.902640508;1.876517145;2.358308592;2.409239336;2.383773964;2.304646623;2.305718359;2.305182491;313.2139204;314.0183698;313.6161451;104.6997971;111.4384929;108.069145;108.4404446;123.4435905;117.3183489;94.76207943;102.5137432;98.63791133;102.2249839;113.2206117;107.4891169;-0.33863;-0.28685;-0.3138125;-0.47879;-0.28835;-0.38357;292.7226;304.8875;298.80505;19.6218;116.3234;67.9726;0.84188;0.84261;0.842245;1.8711;1.89598;1.88354;-0.36804;-0.33012;-0.34908;1.94674;1.95259;1.9490625;-0.5829;-0.55695;-0.5701275;0.03552;0.05032;0.041495;0.19241;0.24158;0.2196375;1.94043;1.95197;1.9462;-0.56335;-0.53281;-0.54808;0.04397;0.04568;0.044825;0.16115;0.22848;0.194815;42.74;47.41;45.075;59.81451132;67.91939809;63.7067938;60.25076035;70.30755385;65.04678481;57.92390653;68.30673899;63.394997;54.45643793;60.16735453;57.93788834;48.21533277;54.14202194;50.12025868;20.73897497;36.57628129;29.29827175;21.19980138;40.9316616;31.79815033;18.89722809;37.44284318;30.12322223;16.72638215;34.88684294;25.73744841;14.84490189;31.56498523;21.4121642;-0.23156;-0.09047;10.2859;-0.19798;1.98534;-0.29414;1.97179;-0.30269;1.96514;-0.30052;1.95347;-0.32436;97.09112049;-0.20083;-0.07033;3.1133;716.98;63.7067938;65.04678481;63.394997;57.93788834;50.12025868
18;R-Segphos;-0.37092;-0.34786;-0.3593925;-0.34587;-0.34587;-0.34587;239.1618;239.1642;239.163;129.7042;129.7297;129.71695;1.20726;1.20728;1.20727;-0.42273;-0.42272;-0.422725;1.77791;1.77791;1.77791;-0.43223;-0.43223;-0.43223;0.1765;0.1765;0.1765;0.60824;0.60827;0.608255;1.95443;1.95657;1.9554975;-0.61505;-0.60823;-0.6116425;0.06938;0.07078;0.07008;0.20976;0.21105;0.21041;1.9497;1.9497;1.9497;-0.60343;-0.60343;-0.60343;0.07739;0.0774;0.077395;0.20477;0.20477;0.20477;1.830247885;1.83660358;1.833419814;1.842846957;1.842859887;1.842853422;2.384075543;2.384093528;2.384084535;2.286894336;2.286901185;2.286897761;314.5902802;314.5948481;314.5925641;111.9642327;111.9691432;111.966688;111.9427521;117.1268019;114.5350191;106.641893;106.6443546;106.6431238;102.6854236;105.2647664;103.9747202;-0.33298;-0.3269;-0.3299425;-0.30702;-0.30701;-0.307015;294.3365;294.3614;294.34895;53.1219;53.1343;53.1281;0.84596;0.84596;0.84596;1.86809;1.8681;1.868095;-0.32595;-0.32595;-0.32595;1.95165;1.95506;1.953355;-0.5637;-0.55852;-0.5611125;0.03762;0.0443;0.04096;0.24082;0.24129;0.2410575;1.94972;1.94973;1.949725;-0.55436;-0.55436;-0.55436;0.04395;0.04395;0.04395;0.23468;0.23469;0.234685;42.91;42.91;42.91;55.806764;59.48301549;57.64582092;54.21451182;59.98386196;57.09841102;49.41187601;56.4102362;52.90987355;45.0623611;50.25443331;47.65839721;38.09282547;41.35987658;39.72699146;15.44249106;34.71394517;25.08008045;12.23077401;35.14989759;23.69111166;7.123711015;29.9060263;18.5136861;4.438296521;26.59893873;15.51816409;2.901009319;21.77920222;12.33996345;-0.22368;-0.08049;12.7688;-0.21121;1.9879;-0.28646;1.96882;-0.2994;1.96122;-0.29104;1.95299;-0.3107;95.24421698;-0.18519;-0.03085;1.98;532.07;57.64582092;57.09841102;52.90987355;47.65839721;39.72699146
19;RR_Norphos;-0.38339;-0.37643;-0.37886;-0.54152;-0.53912;-0.54032;241.9408;243.6637;242.80225;72.4106;82.5226;77.4666;1.23459;1.23929;1.23694;-0.43525;-0.43212;-0.433685;1.76791;1.77107;1.76949;-0.41941;-0.41573;-0.41757;0.17514;0.17536;0.17525;0.64069;0.64074;0.640715;1.95762;1.96;1.95885;-0.62384;-0.60135;-0.6173525;0.06758;0.07205;0.070045;0.20218;0.20761;0.2050275;1.95348;1.95762;1.95555;-0.60135;-0.59787;-0.59961;0.07762;0.07813;0.077875;0.18587;0.18714;0.186505;1.823636261;1.82665563;1.824920932;1.85360989;1.855501317;1.854555604;2.383008001;2.383615317;2.383311659;2.292469769;2.293474633;2.292972201;319.1161689;320.3908388;319.7535039;100.75581;100.7920977;100.7739538;113.9512478;121.8127242;117.6175289;105.7661869;106.0197767;105.8929818;106.4542719;107.6242668;106.930261;-0.34969;-0.3328;-0.3403675;-0.51629;-0.51615;-0.51622;294.2357;297.2444;295.74005;34.1931;39.5611;36.8771;0.86306;0.8648;0.86393;1.85512;1.86034;1.85773;-0.32097;-0.31758;-0.319275;1.95567;1.96068;1.9581375;-0.56961;-0.5679;-0.56881;0.0398;0.04181;0.040775;0.23477;0.24592;0.2406875;1.95048;1.95519;1.952835;-0.55389;-0.55032;-0.552105;0.04721;0.04815;0.04768;0.2123;0.21329;0.212795;40.98;41.47;41.225;45.24731824;57.35622765;51.12112634;44.89789585;56.89435789;50.86548011;43.39267131;51.91573902;47.66268014;40.04988888;45.53403782;42.80647648;33.24746816;37.67554921;35.31840797;7.978247914;16.9398093;12.09587306;9.412823537;15.60424555;12.18965303;9.476206994;11.33833685;10.2137271;6.664247812;9.026259694;7.949793641;4.200087668;7.885553588;6.115402788;-0.23051;-0.074;11.8391;-0.18096;1.98702;-0.28478;1.97174;-0.29283;1.96109;-0.31244;1.95588;-0.28969;89.94519028;-0.19012;-0.03206;1.8932;442.44;51.12112634;50.86548011;47.66268014;42.80647648;35.31840797
22;RR-Me-Ferrolane;-0.50069;-0.48661;-0.4936575;-0.36381;-0.36378;-0.363795;211.4198;211.4817;211.45075;127.9293;127.971;127.95015;1.17592;1.17608;1.176;-0.44128;-0.44116;-0.44122;1.78629;1.78635;1.78632;-0.43919;-0.43917;-0.43918;0.16708;0.16708;0.16708;0.56376;0.56402;0.56389;1.94762;1.95659;1.952105;-0.56284;-0.55549;-0.559165;0.07001;0.08064;0.075325;0.16043;0.16286;0.1616425;1.96188;1.96188;1.96188;-0.63032;-0.63031;-0.630315;0.07816;0.07817;0.078165;0.2131;0.21312;0.21311;1.880236449;1.885836166;1.88304833;1.823340085;1.82336159;1.823350837;2.397420132;2.39749385;2.397456991;2.299826031;2.299998543;2.299912287;302.1847422;302.1861038;302.185423;118.4482695;118.4596163;118.4539429;115.5121333;117.3902523;116.448231;95.55093079;95.55391953;95.55242516;101.3291742;105.3059988;103.3164989;-0.48482;-0.47352;-0.4791625;-0.32263;-0.3226;-0.322615;297.4549;297.5232;297.48905;63.0102;63.0524;63.0313;0.81128;0.81131;0.811295;1.92483;1.92485;1.92484;-0.34962;-0.3496;-0.34961;1.94624;1.96079;1.953515;-0.50366;-0.49616;-0.49991;0.03492;0.04848;0.0417;0.2027;0.20872;0.205705;1.95267;1.95268;1.952675;-0.57175;-0.57174;-0.571745;0.03384;0.03384;0.03384;0.2444;0.24442;0.24441;48.59;48.59;48.59;48.88259833;59.91880215;54.40535608;52.14915275;62.06473838;57.1061697;49.43158525;57.05275772;53.23941219;42.4032836;45.8034378;44.10165994;31.90654833;32.47866654;32.19253628;15.29350417;25.09684148;20.19517282;17.32977469;26.62776985;21.980324;13.5552332;21.46731418;17.50772603;8.486552678;13.94439657;11.21343372;5.365387133;8.782726015;7.073060349;-0.24091;-0.07325;11.5494;-0.13733;1.98967;-0.28638;1.96944;-0.29655;1.96324;-0.29121;1.95809;-0.31908;101.9231465;-0.187;-0.00368;1.2848;353.22;54.40535608;57.1061697;53.23941219;44.10165994;32.19253628
23;R_C3_Tunephos;-0.37433;-0.34883;-0.361525;-0.31892;-0.3165;-0.31771;238.6201;239.3283;238.9742;122.9166;124.8315;123.87405;1.19955;1.19959;1.19957;-0.42655;-0.42606;-0.426305;1.77499;1.77514;1.775065;-0.43012;-0.42978;-0.42995;0.17483;0.17486;0.174845;0.60533;0.60637;0.60585;1.95444;1.95679;1.9556175;-0.61241;-0.60567;-0.6090675;0.06767;0.07027;0.0689375;0.21164;0.21506;0.21335;1.95076;1.9508;1.95078;-0.59849;-0.59809;-0.59829;0.07818;0.07861;0.078395;0.20065;0.20091;0.20078;1.828120746;1.836714237;1.8324812;1.853128017;1.853504583;1.8533163;2.384500345;2.384883966;2.384692155;2.286679202;2.287217232;2.286948217;314.3892592;314.4137788;314.401519;112.3735818;112.5884097;112.4809958;112.6312931;116.2299389;114.3879096;105.7420035;105.8363856;105.7891946;102.2034411;106.4438146;104.3061622;-0.33754;-0.32711;-0.332225;-0.28258;-0.28063;-0.281605;291.8293;292.9645;292.3969;50.1698;50.8774;50.5236;0.84252;0.84385;0.843185;1.86181;1.86297;1.86239;-0.32355;-0.32333;-0.32344;1.95072;1.95485;1.9528225;-0.56187;-0.55568;-0.558775;0.03577;0.04531;0.040535;0.24327;0.24601;0.24469;1.95072;1.9508;1.95076;-0.54816;-0.54758;-0.54787;0.04505;0.04532;0.045185;0.2312;0.23122;0.23121;42.77;42.77;42.77;55.63915375;58.19800358;56.99214094;54.49072063;58.83092297;56.68293402;49.47967582;55.40664123;52.46286777;44.99659849;49.49249399;47.2903533;37.67497993;41.28188634;39.48483744;17.57300358;33.1942789;25.36688021;14.67630811;34.03575197;24.39792688;8.697297468;28.78496421;18.78882722;5.373486326;25.4605651;15.45104086;3.456049367;20.82794897;12.15224606;-0.22511;-0.08142;14.5;-0.19345;1.98772;-0.28492;1.96905;-0.29603;1.96109;-0.28943;1.95354;-0.31112;94.3433997;-0.18701;-0.03086;3.7061;534.19;56.99214094;56.68293402;52.46286777;47.2903533;39.48483744
24;MeO-BIPHEP-R;-0.37171;-0.34763;-0.3596725;-0.31528;-0.31528;-0.31528;239.6122;239.6143;239.61325;124.6137;124.6309;124.6223;1.2049;1.20491;1.204905;-0.42212;-0.42212;-0.42212;1.77621;1.77621;1.77621;-0.42878;-0.42878;-0.42878;0.17497;0.17497;0.17497;0.60823;0.60825;0.60824;1.9543;1.95697;1.955635;-0.61423;-0.60488;-0.609555;0.06855;0.06933;0.06894;0.21213;0.21493;0.2135325;1.94954;1.95697;1.953255;-0.61423;-0.59723;-0.60573;0.06855;0.07883;0.07369;0.20466;0.21493;0.209795;1.827975295;1.837618173;1.832795996;1.84983931;1.849841262;1.849840286;2.383136568;2.383146389;2.383141479;2.287041062;2.287043833;2.287042447;315.3936523;315.3942384;315.3939453;110.9286674;110.9293884;110.9290279;111.4255762;117.8856792;114.6555668;106.3550556;106.3558655;106.3554605;102.8036333;106.2345827;104.5192424;-0.33406;-0.32589;-0.3299775;-0.2786;-0.27859;-0.278595;293.7086;293.7168;293.7127;55.3029;55.3195;55.3112;0.84414;0.84415;0.844145;1.8643;1.86431;1.864305;-0.32141;-0.32141;-0.32141;1.95162;1.95528;1.95345;-0.56254;-0.5553;-0.5589225;0.03557;0.04432;0.039945;0.2435;0.24724;0.2453725;1.9497;1.95004;1.94987;-0.5475;-0.54697;-0.547235;0.04595;0.047;0.046475;0.23372;0.23439;0.234055;42.58;42.58;42.58;55.49389154;59.99329559;57.74173123;54.06089008;60.46024455;57.26056731;49.29362051;56.9376557;53.11504683;45.07551363;50.60410903;47.84037825;38.3125644;41.50874117;39.91058163;15.27860548;35.47377831;25.37432956;12.22767054;35.58127987;23.90525107;7.128441235;30.27025322;18.69816467;4.409270262;26.92276294;15.66624337;2.863437377;21.94827596;12.40571435;-0.22336;-0.07955;13.9113;-0.2081;1.98777;-0.28512;1.96897;-0.29777;1.96045;-0.28942;1.95434;-0.3091;94.99031275;-0.18711;-0.02706;3.2826;524.63;57.74173123;57.26056731;53.11504683;47.84037825;39.91058163
