,PC1,PC2,PC3,PC4
"L2Ni - A(L,Ni,L)",0.3651756232880555,-0.2252799026787147,0.16783216239146048,0.04487587923255198
L2Ni - Bur_V,0.2754365506410022,-0.3603118745246479,-0.18911929527957308,-0.14483200337744004
L2Ni - HOMO,0.345833397664995,0.3426577578004128,-0.02227357794617064,-0.059642774674711095
L2Ni - Q(Ni),-0.32865235175308805,-0.12055971808716168,-0.31711934757128485,0.341342443205568
"L2Ni - Sterimol_L(Ni,P)",-0.05198867905264398,-0.3184300559981483,-0.2195343098796344,0.15468372211819104
"L2NiX - R(Ni,C)",0.4124326458845894,0.07148505401096227,-0.017668669070683103,0.15634188231055773
"L2NiX - Sterimol_L(Ni,C)",0.3589574282558799,0.2210565862265917,0.11012290024328036,-0.09344257392448292
L2NiX - dQ(C),0.09645919314920752,-0.4174853083000171,0.294768347013233,-0.13665066814937873
L2NiX - dSD(Ni),0.1746931257342929,0.18026836713116307,0.17257700815079485,0.7577240083675448
L2NiX TO L2NiX2 + L2Ni,0.2558324377975407,0.17459399391574495,-0.4771333873637641,-0.3455351483508593
"L2NiX2 - A(C,Ni,C)",0.23016160544759467,-0.22558735089746199,0.37109595063906975,0.05434113603340686
"L2NiX2 - BO(Ni,L)",-0.28308855337649685,0.03918497775079587,0.512390550283098,-0.28377453091010746
L2NiX2 TO L2Ni + X2,-0.15208097845056706,0.49234404757571754,0.17258958317873382,-0.064358444008582
