,% Separation
L2Ni2Br2 - v(P2Ni2Br2) - 1,1.056323098529457
L - NMR(P),0.9817226565943081
L2NiBr2 - NMR(P),0.914053565356442
L2NiBr - v(P2NiBr) - 1,0.80520856945695
L2Ni2Br2 - v(P2Ni2Br2) - 3,0.7860424923404415
LNi - NMR(P),0.7503844250808113
"LNiBr - BO(Ni,P)",0.7140401146131804
L2NiBr2 - NMR(Ni),0.7044590338072735
LNiBr2 - NMR(Ni),0.7026078227680742
L2Ni - Q(P),0.6789191816839633
LNiBr2 - NMR(P),0.6675004296590553
"LNiBr2 - R(Ni,P)",0.6559167542873506
L2NiBr - Q(P),0.6427001055122811
L2Ni - AMS_0(Ni),0.6351614738947476
L - Q(P),0.6239309734300587
L2NiBr2 - Dipole,0.588038545191275
LNiBr - v(PNiBr) - 1,0.5263403833896778
"L2NiBr2 - Angle(Br,Ni,Br)",0.521395814794427
L2NiBr - AMS_0(Ni),0.5173616148522117
L2Ni2Br2 - Q(P),0.5161024153207103
L2Ni2Br2 - NMR(Br),0.49959694883677896
L2Ni2Br2 - v(P2Ni2Br2) - 2,0.495588251494165
LNi - Q(P),0.4949669934511856
dG(LNiBr to L + NiBr),0.4936616423897901
L2NiBr - v(P2NiBr) - 2,0.48203811467816
L2NiBr2 - LUMO,0.4753373940045384
L2NiBr2 - Q(Ni),0.47529672323003436
L2Ni - v(P2Ni) - 2,0.4738932284715165
LNiBr2 - LUMO,0.4683184235478422
L2NiBr - Q(Ni),0.4664798875195881
L2NiBr - AMS_0(P2NiBr),0.46087013495369034
dG(L2NiBr to L2Ni + Br),0.45470271510904553
L2NiBr2 - v(P2NiBr2) - 4,0.446487829243022
"LNiBr2 - BO(Ni,P)",0.44381042954509486
"L2NiBr2 - Angle(P,Ni,P)",0.4357779235093668
dG(L2NiBr2 to L2NiBr + Br),0.43341539977337895
"LNi - BO(Ni,P)",0.40601836486336945
"LNiBr2 - Sterimol_L(Ni,P)",0.39712360227328936
L2NiBr2 - v(P2NiBr2) - 2,0.3917645304481832
L2NiBr2 - Q(P),0.3909741871123714
L2Ni2Br2 - v(P2Ni2Br2) - 6,0.38321557431746617
L2NiBr2 - HOMO,0.37566771168310453
LNiBr - NMR(Br),0.3552367926161459
"L2Ni - BO(Ni,P)",0.3550524839162189
"L2NiBr2 - R(Ni,Br)",0.352416331763696
dG(LNiBr2 to LNiBr + Br),0.3496163259646251
L2Ni2Br2 - LUMO,0.3469281831343732
LNiBr - v(PNiBr) - 2,0.322437854722356
L2Ni2Br2 - AMS_0(Ni),0.3187903008746078
LNi - v(PNi) - 1,0.3054578008708065
L2NiBr2 - Q(Br),0.3024766350670101
"LNi - Sterimol_B5(Ni,P)",0.30018212899502567
LNiBr2 - v(PNiBr2) - 1,0.2978658780135812
L2NiBr2 - AMS_0(Ni),0.2949293264674903
L2NiBr2 - v(P2NiBr2) - 3,0.29322070797230837
LNiBr2 - Dipole,0.2927184448521593
dG(L2Ni2Br2 to LNi + LNiBr2),0.28818443359737966
"L2Ni2Br2 - BO(Ni,Ni)",0.28502609393817724
L2Ni2Br2 - HOMO,0.2833982787722186
L2NiBr - v(P2NiBr) - 3,0.27653776688201986
"LNiBr2 - Angle(Br,Ni,Br)",0.2753439239069435
"L2Ni2Br2 - Sterimol_B5(Ni,P)",0.2718405619100045
dG(2 L + L2Ni2Br2 to 2 L2NiBr),0.2636294135639167
L2Ni - %V_Bur(Ni),0.2610736116706535
dG(L2Ni2Br2 to 2 LNiBr),0.2501468592405412
L2Ni - v(P2Ni) - 1,0.24558971193396856
LNiBr - Q(P),0.24249895898567542
L2NiBr2 - AMS_0(P2NiBr2),0.24183450436482773
L2NiBr - HOMO,0.2249344543892961
LNiBr2 - v(PNiBr2) - 3,0.2169703122943578
dG(L2Ni + NiBr2 to L2Ni2Br2),0.20623865656014473
L2Ni - NMR(Ni),0.19999104193488937
LNi - %V_Bur(Ni),0.19884351171695808
L2Ni2Br2 - NMR(Ni),0.19752605721517227
"LNiBr - R(Ni,P)",0.19713851432496302
L2Ni2Br2 - AMS_0(P2Ni2Br2),0.19646774244627352
"LNi - Sterimol_L(Ni,P)",0.19237741614301662
LNiBr2 - v(PNiBr2) - 2,0.19108423353704304
"LNi - Sterimol_B1(Ni,P)",0.18971005870144417
LNiBr2 - Q(Br),0.1853205427957891
L - HOMO,0.18196292505402006
L2NiBr - NMR(Ni),0.1814070626633776
"L2NiBr - R(Ni,Br)",0.1687366064877749
LNi - Dipole,0.16551943894516033
"LNiBr2 - BO(Ni,Br)",0.16053108026554103
LNiBr2 - Q(Ni),0.15375451693602826
L2NiBr - SD(Br),0.14611183282347845
"L2NiBr - BO(Ni,P)",0.14045770278740735
"L2Ni - Sterimol_L(Ni,P)",0.13176650041073104
LNi - NMR(Ni),0.12267060740190323
dG(2 L + L2Ni2Br2 to L2Ni + L2Ni2Br2),0.12238805308093277
L2Ni2Br2 - Dipole,0.12000359181894175
LNiBr2 - Q(P),0.11265366680796977
dG(LNiBr2 to L + NiBr2),0.11187072717399278
L2Ni - HOMO,0.10996520874751453
"L2Ni2Br2 - R(Ni,Br)",0.1095577902941794
L2NiBr2 - v(P2NiBr2) - 1,0.10526200963003679
L2Ni2Br2 - v(P2Ni2Br2) - 4,0.10252747719402544
LNiBr2 - NMR(Br),0.10251840028328471
"L2Ni2Br2 - Sterimol_L(Ni,P)",0.1013350955620038
"L2NiBr2 - Sterimol_L(Ni,P)",0.09702230349066122
L2NiBr2 - %V_Bur(Ni),0.09296605075280619
L2Ni2Br2 - v(P2Ni2Br2) - 5,0.08614445423861225
LNi - HOMO,0.0855979390010806
LNiBr2 - AMS_0(Ni),0.06997196091428808
L2NiBr - SD(Ni),0.06734006734006763
L - Dipole,0.0635860171853642
"L2NiBr - BO(Ni,Br)",0.06279058620524372
dG(L2NiBr2 to L2Ni + 2 Br),0.05979772652368627
"L2Ni - R(Ni,P)",0.05483039452432401
dG(L2Ni to L + LNi),0.049364320224895224
"L2Ni2Br2 - R(Ni,Ni)",0.049058618363456374
"L2NiBr - Angle(P,Ni,P)",0.04677299521844788
LNiBr2 - HOMO,0.046758539331868035
LNiBr - Dipole,0.03867663327486201
L2NiBr - Dipole,0.035618833830450954
LNiBr - HOMO,0.028802824535050835
"L2NiBr - R(Ni,P)",0.02649234256857556
"LNiBr - BO(Ni,Br)",0.02270699862136009
L2Ni2Br2 - v(P2Ni2Br2) - 7,0.018671997323808268
LNiBr2 - %V_Bur(Ni),0.01844600505099054
L - LUMO,0.01249349297241022
"LNiBr2 - R(Ni,Br)",0.006699918499017828
L2Ni - Dipole,0.0014839797639123109
"L2Ni - Angle(P,Ni,P)",0.0010795920841429356
L2NiBr - NMR(Br),0.0009413613111529794
