,0
15,0.0
16,1.0
19,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,0.0
49,0.0
50,0.0
52,0.0
54,1.0
55,1.0
60,0.0
61,1.0
73,0.0
76,0.0
78,0.0
81,0.0
83,0.0
85,0.0
86,0.0
93,0.0
96,0.0
101,0.0
102,0.0
105,0.0
111,0.0
112,0.0
113,1.0
116,0.0
119,1.0
120,0.0
121,0.0
122,1.0
123,0.8191808191808192
142,1.0
143,1.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
160,0.0
161,0.0
162,0.0
163,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
179,0.0
184,1.0
187,0.0
